model_id,scenario,metric,mean,std,n
llama-3.1-8b,03_alignment_tax,structural_formatting_reliability,4.8400,0.6624,100
llama-3.1-8b,03_alignment_tax,hallucination_realism,3.9100,0.6681,100
llama-3.1-8b,04_hallucination_realism,persona_adoption_stability,4.7000,0.4820,100
llama-3.1-8b,04_hallucination_realism,censorship_and_refusal_rates,5.0000,0.0000,100
llama-3.1-8b,04_hallucination_realism,structural_formatting_reliability,4.2000,1.1807,100
llama-3.1-8b,04_hallucination_realism,hallucination_realism,4.1300,0.6614,100
llama-3.1-8b,05_fs_continuity,persona_adoption_stability,4.5200,0.6110,100
llama-3.1-8b,05_fs_continuity,censorship_and_refusal_rates,4.9900,0.1000,100
llama-3.1-8b,05_fs_continuity,structural_formatting_reliability,4.8300,0.6204,100
llama-3.1-8b,05_fs_continuity,hallucination_realism,3.0000,0.7785,100
llama-3.1-8b-ft,01_schema_adherence,persona_adoption_stability,5.0000,0.0000,100
llama-3.1-8b-ft,01_schema_adherence,censorship_and_refusal_rates,5.0000,0.0000,100
llama-3.1-8b-ft,01_schema_adherence,structural_formatting_reliability,5.0000,0.0000,100
llama-3.1-8b-ft,01_schema_adherence,hallucination_realism,4.7300,0.4462,100
llama-3.1-8b-ft,02_persona_adoption,persona_adoption_stability,4.7700,0.5096,100
llama-3.1-8b-ft,02_persona_adoption,censorship_and_refusal_rates,5.0000,0.0000,100
llama-3.1-8b-ft,02_persona_adoption,structural_formatting_reliability,4.9900,0.1000,100
llama-3.1-8b-ft,02_persona_adoption,hallucination_realism,4.8200,0.3861,100
llama-3.1-8b-ft,03_alignment_tax,persona_adoption_stability,4.6700,0.4935,100
llama-3.1-8b-ft,03_alignment_tax,censorship_and_refusal_rates,5.0000,0.0000,100
llama-3.1-8b-ft,03_alignment_tax,structural_formatting_reliability,4.7900,0.7148,100
llama-3.1-8b-ft,03_alignment_tax,hallucination_realism,3.5200,0.6587,100
llama-3.1-8b-ft,04_hallucination_realism,persona_adoption_stability,4.4700,0.5766,100
llama-3.1-8b-ft,04_hallucination_realism,censorship_and_refusal_rates,5.0000,0.0000,100
llama-3.1-8b-ft,04_hallucination_realism,structural_formatting_reliability,3.7400,1.4043,100
llama-3.1-8b-ft,04_hallucination_realism,hallucination_realism,3.7700,0.7366,100
llama-3.1-8b-ft,05_fs_continuity,persona_adoption_stability,4.2900,0.6711,100
llama-3.1-8b-ft,05_fs_continuity,censorship_and_refusal_rates,5.0000,0.0000,100
llama-3.1-8b-ft,05_fs_continuity,structural_formatting_reliability,4.9000,0.4820,100
llama-3.1-8b-ft,05_fs_continuity,hallucination_realism,3.0500,0.7437,100
mistral-7b,01_schema_adherence,persona_adoption_stability,4.9900,0.1000,100
mistral-7b,01_schema_adherence,censorship_and_refusal_rates,5.0000,0.0000,100
mistral-7b,01_schema_adherence,structural_formatting_reliability,5.0000,0.0000,100
mistral-7b,01_schema_adherence,hallucination_realism,4.9300,0.2564,100
mistral-7b,02_persona_adoption,persona_adoption_stability,4.5104,0.6155,96
mistral-7b,02_persona_adoption,censorship_and_refusal_rates,5.0000,0.0000,96
mistral-7b,02_persona_adoption,structural_formatting_reliability,4.9688,0.3062,96
mistral-7b,02_persona_adoption,hallucination_realism,4.3854,0.6047,96
mistral-7b,03_alignment_tax,persona_adoption_stability,4.6100,0.6013,100
mistral-7b,03_alignment_tax,censorship_and_refusal_rates,5.0000,0.0000,100
mistral-7b,03_alignment_tax,structural_formatting_reliability,4.1300,1.3383,100
mistral-7b,03_alignment_tax,hallucination_realism,4.1900,0.5979,100
mistral-7b,04_hallucination_realism,persona_adoption_stability,3.7600,0.8302,100
mistral-7b,04_hallucination_realism,censorship_and_refusal_rates,4.9800,0.2000,100
mistral-7b,04_hallucination_realism,structural_formatting_reliability,3.9700,1.3887,100
mistral-7b,04_hallucination_realism,hallucination_realism,2.7900,0.6403,100
mistral-7b,05_fs_continuity,persona_adoption_stability,4.2200,0.7328,100
mistral-7b,05_fs_continuity,censorship_and_refusal_rates,4.9400,0.2778,100
mistral-7b,05_fs_continuity,structural_formatting_reliability,3.2100,1.4234,100
mistral-7b,05_fs_continuity,hallucination_realism,4.0800,0.7061,100
mistral-7b-ft,01_schema_adherence,persona_adoption_stability,4.9300,0.2564,100
mistral-7b-ft,01_schema_adherence,censorship_and_refusal_rates,5.0000,0.0000,100
mistral-7b-ft,01_schema_adherence,structural_formatting_reliability,4.9400,0.4221,100
mistral-7b-ft,01_schema_adherence,hallucination_realism,3.7900,0.6860,100
mistral-7b-ft,02_persona_adoption,persona_adoption_stability,2.6700,0.8294,100
mistral-7b-ft,02_persona_adoption,censorship_and_refusal_rates,5.0000,0.0000,100
mistral-7b-ft,02_persona_adoption,structural_formatting_reliability,1.9600,0.5303,100
mistral-7b-ft,02_persona_adoption,hallucination_realism,3.1900,0.7875,100
mistral-7b-ft,03_alignment_tax,persona_adoption_stability,4.9100,0.3208,100
mistral-7b-ft,03_alignment_tax,censorship_and_refusal_rates,5.0000,0.0000,100
mistral-7b-ft,03_alignment_tax,structural_formatting_reliability,4.9400,0.2387,100
mistral-7b-ft,03_alignment_tax,hallucination_realism,3.9000,0.7977,100
mistral-7b-ft,04_hallucination_realism,persona_adoption_stability,5.0000,0.0000,99
mistral-7b-ft,04_hallucination_realism,censorship_and_refusal_rates,5.0000,0.0000,99
mistral-7b-ft,04_hallucination_realism,structural_formatting_reliability,5.0000,0.0000,99
mistral-7b-ft,04_hallucination_realism,hallucination_realism,4.9293,0.2576,99
mistral-7b-ft,05_fs_continuity,persona_adoption_stability,4.3800,0.6159,100
mistral-7b-ft,05_fs_continuity,censorship_and_refusal_rates,5.0000,0.0000,100
mistral-7b-ft,05_fs_continuity,structural_formatting_reliability,4.8600,0.4718,100
mistral-7b-ft,05_fs_continuity,hallucination_realism,2.8800,0.8075,100
qwen-2.5-7b,01_schema_adherence,persona_adoption_stability,4.9100,0.2876,100
qwen-2.5-7b,01_schema_adherence,censorship_and_refusal_rates,5.0000,0.0000,100
qwen-2.5-7b,01_schema_adherence,structural_formatting_reliability,5.0000,0.0000,100
qwen-2.5-7b,01_schema_adherence,hallucination_realism,4.1500,0.8087,100
qwen-2.5-7b,02_persona_adoption,persona_adoption_stability,4.9500,0.2190,100
qwen-2.5-7b,02_persona_adoption,censorship_and_refusal_rates,5.0000,0.0000,100
qwen-2.5-7b,02_persona_adoption,structural_formatting_reliability,5.0000,0.0000,100
qwen-2.5-7b,02_persona_adoption,hallucination_realism,4.6900,0.5064,100
qwen-2.5-7b,03_alignment_tax,persona_adoption_stability,4.9596,0.1979,99
qwen-2.5-7b,03_alignment_tax,censorship_and_refusal_rates,5.0000,0.0000,99
qwen-2.5-7b,03_alignment_tax,structural_formatting_reliability,4.9091,0.4064,99
qwen-2.5-7b,03_alignment_tax,hallucination_realism,4.4242,0.7156,99
qwen-2.5-7b,04_hallucination_realism,persona_adoption_stability,4.7500,0.4794,100
qwen-2.5-7b,04_hallucination_realism,censorship_and_refusal_rates,5.0000,0.0000,100
qwen-2.5-7b,04_hallucination_realism,structural_formatting_reliability,4.8400,0.6150,100
qwen-2.5-7b,04_hallucination_realism,hallucination_realism,4.0000,0.8989,100
qwen-2.5-7b,05_fs_continuity,persona_adoption_stability,4.6800,0.5101,100
qwen-2.5-7b,05_fs_continuity,censorship_and_refusal_rates,5.0000,0.0000,100
qwen-2.5-7b,05_fs_continuity,structural_formatting_reliability,4.9900,0.1000,100
qwen-2.5-7b,05_fs_continuity,hallucination_realism,3.7600,0.7801,100
qwen-2.5-7b-ft,01_schema_adherence,persona_adoption_stability,5.0000,0.0000,100
qwen-2.5-7b-ft,01_schema_adherence,censorship_and_refusal_rates,5.0000,0.0000,100
qwen-2.5-7b-ft,01_schema_adherence,structural_formatting_reliability,5.0000,0.0000,100
qwen-2.5-7b-ft,01_schema_adherence,hallucination_realism,4.7400,0.5049,100
qwen-2.5-7b-ft,02_persona_adoption,persona_adoption_stability,4.8300,0.4277,100
qwen-2.5-7b-ft,02_persona_adoption,censorship_and_refusal_rates,5.0000,0.0000,100
qwen-2.5-7b-ft,02_persona_adoption,structural_formatting_reliability,5.0000,0.0000,100
qwen-2.5-7b-ft,02_persona_adoption,hallucination_realism,4.7800,0.4163,100
qwen-2.5-7b-ft,03_alignment_tax,persona_adoption_stability,4.7800,0.4163,100
qwen-2.5-7b-ft,03_alignment_tax,censorship_and_refusal_rates,5.0000,0.0000,100
qwen-2.5-7b-ft,03_alignment_tax,structural_formatting_reliability,4.9100,0.5143,100
qwen-2.5-7b-ft,03_alignment_tax,hallucination_realism,3.9800,0.7245,100
qwen-2.5-7b-ft,04_hallucination_realism,persona_adoption_stability,4.8100,0.4191,100
qwen-2.5-7b-ft,04_hallucination_realism,censorship_and_refusal_rates,5.0000,0.0000,100
qwen-2.5-7b-ft,04_hallucination_realism,structural_formatting_reliability,4.9400,0.4221,100
qwen-2.5-7b-ft,04_hallucination_realism,hallucination_realism,4.4700,0.6269,100
qwen-2.5-7b-ft,05_fs_continuity,persona_adoption_stability,4.5200,0.6739,100
qwen-2.5-7b-ft,05_fs_continuity,censorship_and_refusal_rates,4.9900,0.1000,100
qwen-2.5-7b-ft,05_fs_continuity,structural_formatting_reliability,4.9500,0.3295,100
qwen-2.5-7b-ft,05_fs_continuity,hallucination_realism,2.8600,0.8167,100
